Identifier,Country name,Series code,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
41,Colombia,AG.LND.EL5M.ZS,0,1,0.9430991,..,..,..,..,..,..,..,..,..,0.9430991,..,..,..,..,..,..,..,..,..,..,..
42,Comoros,AG.LND.EL5M.ZS,0,1,13.46283,..,..,..,..,..,..,..,..,..,13.46283,..,..,..,..,..,..,..,..,..,..,..
43,Cape Verde,AG.LND.EL5M.ZS,0,1,14.51925,..,..,..,..,..,..,..,..,..,14.51925,..,..,..,..,..,..,..,..,..,..,..
44,Costa Rica,AG.LND.EL5M.ZS,0,1,2.116565,..,..,..,..,..,..,..,..,..,2.116565,..,..,..,..,..,..,..,..,..,..,..
45,Cuba,AG.LND.EL5M.ZS,0,1,12.66866,..,..,..,..,..,..,..,..,..,12.66866,..,..,..,..,..,..,..,..,..,..,..
46,Curacao,AG.LND.EL5M.ZS,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
47,Cayman Islands,AG.LND.EL5M.ZS,0,1,60.28383,..,..,..,..,..,..,..,..,..,60.28383,..,..,..,..,..,..,..,..,..,..,..
48,Cyprus,AG.LND.EL5M.ZS,0,1,6.421041,..,..,..,..,..,..,..,..,..,6.421041,..,..,..,..,..,..,..,..,..,..,..
49,Czech Republic,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
50,Germany,AG.LND.EL5M.ZS,0,1,4.917982,..,..,..,..,..,..,..,..,..,4.917982,..,..,..,..,..,..,..,..,..,..,..
51,Djibouti,AG.LND.EL5M.ZS,0,1,2.564216,..,..,..,..,..,..,..,..,..,2.564216,..,..,..,..,..,..,..,..,..,..,..
52,Dominica,AG.LND.EL5M.ZS,0,1,9.404154,..,..,..,..,..,..,..,..,..,9.404154,..,..,..,..,..,..,..,..,..,..,..
53,Denmark,AG.LND.EL5M.ZS,0,1,17.66819,..,..,..,..,..,..,..,..,..,17.66819,..,..,..,..,..,..,..,..,..,..,..
54,Dominican Republic,AG.LND.EL5M.ZS,0,1,4.139139,..,..,..,..,..,..,..,..,..,4.139139,..,..,..,..,..,..,..,..,..,..,..
55,Algeria,AG.LND.EL5M.ZS,0,1,0.3513818,..,..,..,..,..,..,..,..,..,0.3513818,..,..,..,..,..,..,..,..,..,..,..
56,East Asia & Pacific,AG.LND.EL5M.ZS,0,1,2.46469755103448,..,..,..,..,..,..,..,..,..,2.45265179589219,..,..,..,..,..,..,..,..,..,..,..
57,Europe & Central Asia,AG.LND.EL5M.ZS,0,1,1.44257664497586,..,..,..,..,..,..,..,..,..,2.49051227471527,..,..,..,..,..,..,..,..,..,..,..
58,Ecuador,AG.LND.EL5M.ZS,0,1,2.036756,..,..,..,..,..,..,..,..,..,2.036756,..,..,..,..,..,..,..,..,..,..,..
59,"Egypt, Arab Rep.",AG.LND.EL5M.ZS,0,1,4.048382,..,..,..,..,..,..,..,..,..,4.048382,..,..,..,..,..,..,..,..,..,..,..
60,Euro area,AG.LND.EL5M.ZS,0,1,3.60182062190042,..,..,..,..,..,..,..,..,..,3.56661424632258,..,..,..,..,..,..,..,..,..,..,..
61,Eritrea,AG.LND.EL5M.ZS,0,1,3.119232,..,..,..,..,..,..,..,..,..,3.119232,..,..,..,..,..,..,..,..,..,..,..
62,Spain,AG.LND.EL5M.ZS,0,1,1.256672,..,..,..,..,..,..,..,..,..,1.256672,..,..,..,..,..,..,..,..,..,..,..
63,Estonia,AG.LND.EL5M.ZS,0,1,3.354928,..,..,..,..,..,..,..,..,..,3.354928,..,..,..,..,..,..,..,..,..,..,..
64,Ethiopia,AG.LND.EL5M.ZS,0,1,0.6725273,..,..,..,..,..,..,..,..,..,0.6725273,..,..,..,..,..,..,..,..,..,..,..
65,Finland,AG.LND.EL5M.ZS,0,1,1.108274,..,..,..,..,..,..,..,..,..,1.108274,..,..,..,..,..,..,..,..,..,..,..
66,Fiji,AG.LND.EL5M.ZS,0,1,11.35986,..,..,..,..,..,..,..,..,..,11.35986,..,..,..,..,..,..,..,..,..,..,..
67,France,AG.LND.EL5M.ZS,0,1,2.067913,..,..,..,..,..,..,..,..,..,2.067913,..,..,..,..,..,..,..,..,..,..,..
68,Faeroe Islands,AG.LND.EL5M.ZS,0,1,14.54897,..,..,..,..,..,..,..,..,..,14.54897,..,..,..,..,..,..,..,..,..,..,..
69,"Micronesia, Fed. Sts.",AG.LND.EL5M.ZS,0,1,33.37462,..,..,..,..,..,..,..,..,..,33.37462,..,..,..,..,..,..,..,..,..,..,..
70,Gabon,AG.LND.EL5M.ZS,0,1,0.5366168,..,..,..,..,..,..,..,..,..,0.5366168,..,..,..,..,..,..,..,..,..,..,..
71,United Kingdom,AG.LND.EL5M.ZS,0,1,7.612598,..,..,..,..,..,..,..,..,..,7.612598,..,..,..,..,..,..,..,..,..,..,..
72,Georgia,AG.LND.EL5M.ZS,0,1,1.427602,..,..,..,..,..,..,..,..,..,1.427602,..,..,..,..,..,..,..,..,..,..,..
73,Ghana,AG.LND.EL5M.ZS,0,1,0.7665069,..,..,..,..,..,..,..,..,..,0.7665069,..,..,..,..,..,..,..,..,..,..,..
74,Gibraltar,AG.LND.EL5M.ZS,0,1,100.0001,..,..,..,..,..,..,..,..,..,100.0001,..,..,..,..,..,..,..,..,..,..,..
75,Guinea,AG.LND.EL5M.ZS,0,1,1.050092,..,..,..,..,..,..,..,..,..,1.050092,..,..,..,..,..,..,..,..,..,..,..
76,"Gambia, The",AG.LND.EL5M.ZS,0,1,16.58088,..,..,..,..,..,..,..,..,..,16.58088,..,..,..,..,..,..,..,..,..,..,..
77,Guinea-Bissau,AG.LND.EL5M.ZS,0,1,9.497562,..,..,..,..,..,..,..,..,..,9.497562,..,..,..,..,..,..,..,..,..,..,..
78,Equatorial Guinea,AG.LND.EL5M.ZS,0,1,0.9218137,..,..,..,..,..,..,..,..,..,0.9218137,..,..,..,..,..,..,..,..,..,..,..
79,Greece,AG.LND.EL5M.ZS,0,1,6.334259,..,..,..,..,..,..,..,..,..,6.334259,..,..,..,..,..,..,..,..,..,..,..
80,Grenada,AG.LND.EL5M.ZS,0,1,21.74677,..,..,..,..,..,..,..,..,..,21.74677,..,..,..,..,..,..,..,..,..,..,..
81,Greenland,AG.LND.EL5M.ZS,0,1,16.26579,..,..,..,..,..,..,..,..,..,16.26579,..,..,..,..,..,..,..,..,..,..,..
82,Guatemala,AG.LND.EL5M.ZS,0,1,0.5609614,..,..,..,..,..,..,..,..,..,0.5609614,..,..,..,..,..,..,..,..,..,..,..
83,Guam,AG.LND.EL5M.ZS,0,1,20.38489,..,..,..,..,..,..,..,..,..,20.38489,..,..,..,..,..,..,..,..,..,..,..
84,Guyana,AG.LND.EL5M.ZS,0,1,2.715692,..,..,..,..,..,..,..,..,..,2.715692,..,..,..,..,..,..,..,..,..,..,..
85,High income,AG.LND.EL5M.ZS,0,1,2.17596118230888,..,..,..,..,..,..,..,..,..,2.20460948574319,..,..,..,..,..,..,..,..,..,..,..
86,"Hong Kong SAR, China",AG.LND.EL5M.ZS,0,1,24.57421,..,..,..,..,..,..,..,..,..,24.57421,..,..,..,..,..,..,..,..,..,..,..
87,Honduras,AG.LND.EL5M.ZS,0,1,3.043469,..,..,..,..,..,..,..,..,..,3.043469,..,..,..,..,..,..,..,..,..,..,..
88,Croatia,AG.LND.EL5M.ZS,0,1,3.030254,..,..,..,..,..,..,..,..,..,3.030254,..,..,..,..,..,..,..,..,..,..,..
89,Haiti,AG.LND.EL5M.ZS,0,1,3.940334,..,..,..,..,..,..,..,..,..,3.940334,..,..,..,..,..,..,..,..,..,..,..
90,Hungary,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
91,Indonesia,AG.LND.EL5M.ZS,0,1,5.497674,..,..,..,..,..,..,..,..,..,5.497674,..,..,..,..,..,..,..,..,..,..,..
92,Isle of Man,AG.LND.EL5M.ZS,0,1,12.08876,..,..,..,..,..,..,..,..,..,12.08876,..,..,..,..,..,..,..,..,..,..,..
93,India,AG.LND.EL5M.ZS,0,1,1.353457,..,..,..,..,..,..,..,..,..,1.353457,..,..,..,..,..,..,..,..,..,..,..
94,Ireland,AG.LND.EL5M.ZS,0,1,3.958941,..,..,..,..,..,..,..,..,..,3.958941,..,..,..,..,..,..,..,..,..,..,..
95,"Iran, Islamic Rep.",AG.LND.EL5M.ZS,0,1,1.593336,..,..,..,..,..,..,..,..,..,1.593336,..,..,..,..,..,..,..,..,..,..,..
96,Iraq,AG.LND.EL5M.ZS,0,1,4.024576,..,..,..,..,..,..,..,..,..,4.024576,..,..,..,..,..,..,..,..,..,..,..
97,Iceland,AG.LND.EL5M.ZS,0,1,4.41256,..,..,..,..,..,..,..,..,..,4.41256,..,..,..,..,..,..,..,..,..,..,..
98,Israel,AG.LND.EL5M.ZS,0,1,7.823743,..,..,..,..,..,..,..,..,..,7.823743,..,..,..,..,..,..,..,..,..,..,..
99,Italy,AG.LND.EL5M.ZS,0,1,5.188644,..,..,..,..,..,..,..,..,..,5.188644,..,..,..,..,..,..,..,..,..,..,..
100,Jamaica,AG.LND.EL5M.ZS,0,1,7.141161,..,..,..,..,..,..,..,..,..,7.141161,..,..,..,..,..,..,..,..,..,..,..
101,Jordan,AG.LND.EL5M.ZS,0,1,2.007511,..,..,..,..,..,..,..,..,..,2.007511,..,..,..,..,..,..,..,..,..,..,..
102,Japan,AG.LND.EL5M.ZS,0,1,5.883866,..,..,..,..,..,..,..,..,..,5.883866,..,..,..,..,..,..,..,..,..,..,..
103,Kazakhstan,AG.LND.EL5M.ZS,0,1,6.678062,..,..,..,..,..,..,..,..,..,6.678062,..,..,..,..,..,..,..,..,..,..,..
104,Kenya,AG.LND.EL5M.ZS,0,1,0.2394978,..,..,..,..,..,..,..,..,..,0.2394978,..,..,..,..,..,..,..,..,..,..,..
105,Kyrgyz Republic,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
106,Cambodia,AG.LND.EL5M.ZS,0,1,3.842303,..,..,..,..,..,..,..,..,..,3.842303,..,..,..,..,..,..,..,..,..,..,..
107,Kiribati,AG.LND.EL5M.ZS,0,1,96.66959,..,..,..,..,..,..,..,..,..,96.66959,..,..,..,..,..,..,..,..,..,..,..
108,St. Kitts and Nevis,AG.LND.EL5M.ZS,0,1,19.02063,..,..,..,..,..,..,..,..,..,19.02063,..,..,..,..,..,..,..,..,..,..,..
109,"Korea, Rep.",AG.LND.EL5M.ZS,0,1,4.301836,..,..,..,..,..,..,..,..,..,4.301836,..,..,..,..,..,..,..,..,..,..,..
110,Kosovo,AG.LND.EL5M.ZS,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
111,Kuwait,AG.LND.EL5M.ZS,0,1,8.859625,..,..,..,..,..,..,..,..,..,8.859625,..,..,..,..,..,..,..,..,..,..,..
112,Latin America & Caribbean,AG.LND.EL5M.ZS,0,1,1.51022492190401,..,..,..,..,..,..,..,..,..,1.50947950939341,..,..,..,..,..,..,..,..,..,..,..
113,Lao PDR,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
114,Lebanon,AG.LND.EL5M.ZS,0,1,1.742301,..,..,..,..,..,..,..,..,..,1.742301,..,..,..,..,..,..,..,..,..,..,..
115,Liberia,AG.LND.EL5M.ZS,0,1,0.3521506,..,..,..,..,..,..,..,..,..,0.3521506,..,..,..,..,..,..,..,..,..,..,..
116,Libya,AG.LND.EL5M.ZS,0,1,0.7758676,..,..,..,..,..,..,..,..,..,0.7758676,..,..,..,..,..,..,..,..,..,..,..
117,St. Lucia,AG.LND.EL5M.ZS,0,1,8.024293,..,..,..,..,..,..,..,..,..,8.024293,..,..,..,..,..,..,..,..,..,..,..
118,Low income,AG.LND.EL5M.ZS,0,1,0.724243777475671,..,..,..,..,..,..,..,..,..,0.724681661206169,..,..,..,..,..,..,..,..,..,..,..
119,Liechtenstein,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
120,Sri Lanka,AG.LND.EL5M.ZS,0,1,3.868529,..,..,..,..,..,..,..,..,..,3.868529,..,..,..,..,..,..,..,..,..,..,..
121,Lower middle income,AG.LND.EL5M.ZS,0,1,1.69769118902467,..,..,..,..,..,..,..,..,..,1.72517836857612,..,..,..,..,..,..,..,..,..,..,..
122,Low & middle income,AG.LND.EL5M.ZS,0,1,1.33504019130342,..,..,..,..,..,..,..,..,..,1.60768277091836,..,..,..,..,..,..,..,..,..,..,..
123,Lesotho,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
124,Lithuania,AG.LND.EL5M.ZS,0,1,1.911668,..,..,..,..,..,..,..,..,..,1.911668,..,..,..,..,..,..,..,..,..,..,..
125,Luxembourg,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
126,Latvia,AG.LND.EL5M.ZS,0,1,3.031544,..,..,..,..,..,..,..,..,..,3.031544,..,..,..,..,..,..,..,..,..,..,..
127,"Macao SAR, China",AG.LND.EL5M.ZS,0,1,35.38876,..,..,..,..,..,..,..,..,..,35.38876,..,..,..,..,..,..,..,..,..,..,..
128,St. Martin (French part),AG.LND.EL5M.ZS,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
129,Morocco,AG.LND.EL5M.ZS,0,1,0.702659,..,..,..,..,..,..,..,..,..,0.702659,..,..,..,..,..,..,..,..,..,..,..
130,Monaco,AG.LND.EL5M.ZS,0,1,100,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..
131,Moldova,AG.LND.EL5M.ZS,0,1,1.302524,..,..,..,..,..,..,..,..,..,1.302524,..,..,..,..,..,..,..,..,..,..,..
132,Madagascar,AG.LND.EL5M.ZS,0,1,1.338625,..,..,..,..,..,..,..,..,..,1.338625,..,..,..,..,..,..,..,..,..,..,..
133,Maldives,AG.LND.EL5M.ZS,0,1,99.99999,..,..,..,..,..,..,..,..,..,99.99999,..,..,..,..,..,..,..,..,..,..,..
134,Mexico,AG.LND.EL5M.ZS,0,1,2.941872,..,..,..,..,..,..,..,..,..,2.941872,..,..,..,..,..,..,..,..,..,..,..
135,Marshall Islands,AG.LND.EL5M.ZS,0,1,99.01826,..,..,..,..,..,..,..,..,..,99.01826,..,..,..,..,..,..,..,..,..,..,..
136,Middle income,AG.LND.EL5M.ZS,0,1,1.48622099228937,..,..,..,..,..,..,..,..,..,1.7725769975819,..,..,..,..,..,..,..,..,..,..,..
137,"Macedonia, FYR",AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
138,Mali,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
139,Malta,AG.LND.EL5M.ZS,0,1,19.35084,..,..,..,..,..,..,..,..,..,19.35084,..,..,..,..,..,..,..,..,..,..,..
140,Myanmar,AG.LND.EL5M.ZS,0,1,4.560159,..,..,..,..,..,..,..,..,..,4.560159,..,..,..,..,..,..,..,..,..,..,..
141,Middle East & North Africa,AG.LND.EL5M.ZS,0,1,1.38658630189215,..,..,..,..,..,..,..,..,..,1.38658630189215,..,..,..,..,..,..,..,..,..,..,..
142,Montenegro,AG.LND.EL5M.ZS,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
143,Mongolia,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
144,Northern Mariana Islands,AG.LND.EL5M.ZS,0,1,28.05892,..,..,..,..,..,..,..,..,..,28.05892,..,..,..,..,..,..,..,..,..,..,..
145,Mozambique,AG.LND.EL5M.ZS,0,1,1.832448,..,..,..,..,..,..,..,..,..,1.832448,..,..,..,..,..,..,..,..,..,..,..
146,Mauritania,AG.LND.EL5M.ZS,0,1,1.04547,..,..,..,..,..,..,..,..,..,1.04547,..,..,..,..,..,..,..,..,..,..,..
147,Mauritius,AG.LND.EL5M.ZS,0,1,7.070228,..,..,..,..,..,..,..,..,..,7.070228,..,..,..,..,..,..,..,..,..,..,..
148,Malawi,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
149,Malaysia,AG.LND.EL5M.ZS,0,1,2.99209,..,..,..,..,..,..,..,..,..,2.99209,..,..,..,..,..,..,..,..,..,..,..
150,Mayotte,AG.LND.EL5M.ZS,0,1,21.56333,..,..,..,..,..,..,..,..,..,21.56333,..,..,..,..,..,..,..,..,..,..,..
151,Namibia,AG.LND.EL5M.ZS,0,1,0.2863445,..,..,..,..,..,..,..,..,..,0.2863445,..,..,..,..,..,..,..,..,..,..,..
152,New Caledonia,AG.LND.EL5M.ZS,0,1,8.02987,..,..,..,..,..,..,..,..,..,8.02987,..,..,..,..,..,..,..,..,..,..,..
153,Niger,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
154,Nigeria,AG.LND.EL5M.ZS,0,1,0.5417737,..,..,..,..,..,..,..,..,..,0.5417737,..,..,..,..,..,..,..,..,..,..,..
155,Nicaragua,AG.LND.EL5M.ZS,0,1,3.569984,..,..,..,..,..,..,..,..,..,3.569984,..,..,..,..,..,..,..,..,..,..,..
156,Niue,AG.LND.EL5M.ZS,0,1,10.43766,..,..,..,..,..,..,..,..,..,10.43766,..,..,..,..,..,..,..,..,..,..,..
157,Netherlands,AG.LND.EL5M.ZS,0,1,58.46905,..,..,..,..,..,..,..,..,..,58.46905,..,..,..,..,..,..,..,..,..,..,..
158,Norway,AG.LND.EL5M.ZS,0,1,4.850657,..,..,..,..,..,..,..,..,..,4.850657,..,..,..,..,..,..,..,..,..,..,..
159,Nepal,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
160,Nauru,AG.LND.EL5M.ZS,0,1,40.35884,..,..,..,..,..,..,..,..,..,40.35884,..,..,..,..,..,..,..,..,..,..,..
161,New Zealand,AG.LND.EL5M.ZS,0,1,2.741883,..,..,..,..,..,..,..,..,..,2.741883,..,..,..,..,..,..,..,..,..,..,..
162,Oman,AG.LND.EL5M.ZS,0,1,1.082381,..,..,..,..,..,..,..,..,..,1.082381,..,..,..,..,..,..,..,..,..,..,..
163,Pakistan,AG.LND.EL5M.ZS,0,1,1.420484,..,..,..,..,..,..,..,..,..,1.420484,..,..,..,..,..,..,..,..,..,..,..
164,Panama,AG.LND.EL5M.ZS,0,1,3.705232,..,..,..,..,..,..,..,..,..,3.705232,..,..,..,..,..,..,..,..,..,..,..
165,Peru,AG.LND.EL5M.ZS,0,1,0.37851,..,..,..,..,..,..,..,..,..,0.37851,..,..,..,..,..,..,..,..,..,..,..
166,Philippines,AG.LND.EL5M.ZS,0,1,6.017094,..,..,..,..,..,..,..,..,..,6.017094,..,..,..,..,..,..,..,..,..,..,..
167,Palau,AG.LND.EL5M.ZS,0,1,21.3706,..,..,..,..,..,..,..,..,..,21.3706,..,..,..,..,..,..,..,..,..,..,..
168,Papua New Guinea,AG.LND.EL5M.ZS,0,1,1.840861,..,..,..,..,..,..,..,..,..,1.840861,..,..,..,..,..,..,..,..,..,..,..
169,Poland,AG.LND.EL5M.ZS,0,1,1.680418,..,..,..,..,..,..,..,..,..,1.680418,..,..,..,..,..,..,..,..,..,..,..
170,Puerto Rico,AG.LND.EL5M.ZS,0,1,7.731913,..,..,..,..,..,..,..,..,..,7.731913,..,..,..,..,..,..,..,..,..,..,..
171,"Korea, Dem. Rep.",AG.LND.EL5M.ZS,0,1,2.420686,..,..,..,..,..,..,..,..,..,2.420686,..,..,..,..,..,..,..,..,..,..,..
172,Portugal,AG.LND.EL5M.ZS,0,1,2.305464,..,..,..,..,..,..,..,..,..,2.305464,..,..,..,..,..,..,..,..,..,..,..
173,Paraguay,AG.LND.EL5M.ZS,0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
174,French Polynesia,AG.LND.EL5M.ZS,0,1,37.59521,..,..,..,..,..,..,..,..,..,37.59521,..,..,..,..,..,..,..,..,..,..,..
175,Qatar,AG.LND.EL5M.ZS,0,1,13.39369,..,..,..,..,..,..,..,..,..,13.39369,..,..,..,..,..,..,..,..,..,..,..
176,Romania,AG.LND.EL5M.ZS,0,1,2.905914,..,..,..,..,..,..,..,..,..,2.905914,..,..,..,..,..,..,..,..,..,..,..
177,Russian Federation,AG.LND.EL5M.ZS,0,1,1.905153,..,..,..,..,..,..,..,..,..,1.905153,..,..,..,..,..,..,..,..,..,..,..
